uuid,Label,Statement,Premise
5bc844fc-e852-4270-bfaf-36ea9eface3d,0,"Tous les principaux participants à l'essai ne reçoivent pas de capécitabine orale, de ditosylate de lapatinib oral ou de cixutumumab IV, dans conraser tous les sujets d'essai secondaires les reçoivent.",Intervention 1: Les patientes diagnostiques (PET FLT) atteints d'un cancer du sein primaire ER précoce ont subi un scanner FLT TEP au départ et 1 6 semaines après le début du traitement endocrinien standard.La chirurgie suit 1 7 jours après le deuxième scanner FLT PET.Traceur utilisé dans la procédure de balayage FLT PET (Positron Emission): F18 Fluorothymidine.Tomographie par émission de positron: subir une analyse des biomarqueurs de laboratoire de PET FLT: Études corrélatives KI67 Tenage du tissu tumoral dans la biopsie et l'échantillon chirurgical. Intervention 1: ARM A Les patients reçoivent une capécitabine orale Twice quotidien21. Les cours se répètent tous les 21 jours en l'absence de progression de la maladie ou de toxicité inacceptable.Ditosylate de lapatinib: Étant donné la PO et la capécitabine: une intervention PO étant donné le dictosylate de PO: les patients ARM B reçoivent de la capécitabine et du ditosylate de lapatinib comme dans les ARM I.de progression de la maladie ou de toxicité inacceptable.Cixutumumab: donné iv lapatinib ditosylate: donné PO et capécitabine: donné PO
86b7cb3d-6186-4a04-9aa6-b174ab764eed,0,"Les patients atteints de plaquettes de plus de 100 000 / mm¬¨eux, ANC <1,700 / mm¬¨eux, et l'hémoglobine entre 4 et 5 grammes par décilitre sont éligibles pour l'essai principal.","Caractéristiques de la maladie: Confiltration histologique ou cytologiquement infiltrant le cancer du sein Preuve clinique de maladie métastatique maladie mesurable définie comme au moins une lésion mesurable par critère RECIST Aucune maladie non mesurable n'est définie que comme toutes les autres lésions, y compris les petites lésions (diamètre le plus long 2 cm) et vraiment non mesurableLésions, y compris l'une des éléments suivants: Lésions osseuses maladie leptoméningée Ascite Ascite les masses abdominales de maladie abdominale inflammatoire inflammatoire inflammatoire qui ne sont pas confirméLe trastuzumab (Herceptin) ou n'a pas une contre-indication pour le trastuzumab aucune preuve de métastase cérébrale active, y compris l'atteinte leptoméningée sur la métastase du SNC IRM ou CT, contrôlée par une chirurgie antérieure et / ou une radiothérapie autorisée, il faut asymptomatique pendant 2 mois sans aucune preuve de progression avant l'étudeÉtat du récepteur des hormones d'entrée non spécifiée Caractéristiques du patient: État ménopausique non spécifié Espérance de vie 12 semaines Statut de performance ECOG 0 1 ANC 1 500 / mm Platelet Coup 100 000 / mm Hémoglobine 9,0 g / dL AST et Alt 2,5 fois Limite supérieure de la normale (ULN)Phosphatase alcaline 2,5 fois uln bilirubine totale 1,5 fois uln créatinine 1,5 mg / dL Protéine urinaire: rapport de créatinine 1 ou analyse d'urine 1+ des patients atteints de protéines découvertes comme ayant 1+ protéinurie au départ doivent démontrer une protéine urinaire de 24 heures 1 g non enceinte ou infirmière un test de prégnance négativeLes patients fertiles doivent utiliser une contraception efficace pendant et pendant 30 jours après la fin de la thérapie d'étude capable de remplir des questionnaires seuls ou avec une assistance sans neuropathie périphérique grade 1 sans antécédents d'allergie ou d'hypersensibilité à l'albumine pacidacée pacidinAgents Aucun stade III ou maligne invasive non mammaire invasive dans les 5 dernières annéesoreilles Aucune autre tume maternelle active, à l'exception du cancer de la peau non mélanome ou du carcinome in situ du patient du col de l'utérus, ne doit pas recevoir d'autres traitements spécifiques pour une tume maternelle antérieure, aucune hypertension incontrôlée (c'est-à-direPression artérielle BP 160/90 mm Hg à 2 reprises au moins 5 minutes d'intervalle) Les patients qui ont récemment commencé ou ajusté les médicaments antihypertenseurs sont éligibles à condition que la PA soit de 140/90 mm Hg sur tout nouveau régime pour 3 observations différentes en 14 jours sans saignementDiathèse ou coagulopathie non contrôlée Aucune hémoptysie Au cours des 6 derniers mois, aucune thrombose artérielle ou veineuse au cours des 12 derniers mois, aucun antécédent d'accident cérébrovasculaire sans antécédents de crise hypertensive ou d'encéphalopathie hypertensionulcère ou fracture de la plaie Aucune maladie cardiaque cliniquement significative définie comme l'un des éléments suivants: insuffisance cardiaque congestive symptomatique de la maladie coronarienne de la maladie coronarienne non instable.Le jugement de l'enquêter rendrait le patient inapproprié pour l'entrée de l'étude ou l'interférerait considérablement avec l'évaluation appropriée de la sécurité et de la toxicité des schémas prordés de traitement concurrent préalable: voir les caractéristiques de la maladie Aucune chimiothérapie antérieure pour la maladie métastatique peut avoir reçu un schéma de chimiothérapie adjuvante antérieure antérieure à la chimiothérapie néoadjuvante antérieure autorisé à plus de permis de plusplus de 6 mois depuis l'adjuvant ou le taxane néoadjuvant (c.-à-d.docétaxel ou paclitaxel) thérapie antérieure hormonale de l'hormonothérapie en milieu adjuvant ou métastatique a permis plus de 4 semaines depuis la radiothérapie antérieure (sauf si une lésion non cible ou une radiation à dose unique pour palliation)Depuis la chirurgie majeure de chimiothérapie ou la thérapie immunologique, plus d'une semaine depuis la chirurgie mineure antérieure (par exemple, la biopsie principale) d'un dispositif d'accès vasculaire dans les 7 jours est accordé plus de 3 mois depuis la neurochirurgie antérieure aucun traitement simultané dans une étude clinique différente dans laquelle les études étudiantesLes procédures sont effectuées ou les thérapies d'enquête sont ADMDes essais inaspés liés à la gestion des symptômes (contrôle du cancer) qui n'utilisent pas de traitements hormonaux ou de traitements pouvant bloquer la voie des agents ciblés utilisés dans cette étude peuvent être autorisés"
fc5c4554-7ce9-4c16-b374-a3cd9d15b021,0,Les patients doivent déjà avoir participé à une étude clinique spécifique pour participer à l'essai primaire ou à l'essai secondaire.,"Critères d'inclusion: les sujets qui ont été confirmés comme ayant une réponse après avoir reçu au moins deux cours de thérapie hebdomadaire du paclitaxel et considéré comme ayant besoin de poursuivre la thérapie par l'investigateur / sous-investigateur chez les patientes atteintes d'un cancer du sein avancé ou récurrent qui avait satisfait aux critères de sélection etA participé aux critères d'étude clinique de la phase II précédents: le patient doit consentir à être dans l'étude et doit avoir signé un formulaire de consentement approuvé conforme aux directives institutionnelles, le patient doit être de 18 ans ou plus.La biopsie de base devrait définitivement démontrer un carcinome invasif.Le carcinome invasif doit être positif du récepteur ER APHA La tumeur doit être environ au moins 1 cm pour tenir compte de la variabilité de l'imagerie et de l'imagerie de la maladie occulte (échographie de mammographie d'examen physique).Nous reconnaissons que de temps à autre en raison de cette variation, il pourrait ne pas y avoir suffisamment de tissu disponible pour analyse après excision chirurgicale, mais cela permettra la plus grande opportunité de saisir autant de patients éligibles que possible.Les patients chez lesquels l'excision chirurgicale de la tumeur fait partie du score ECOG de gestion des soins de 0 ou 1 test de grossesse de sérum ou d'urine bêta de HCG au dépistage des patients en cas de potentiel de portant (cela est systématique) Consentement à participer aux critères d'exclusion DBBR (RPCI uniquement): les patients masculins ne sont pas éligibles à cette étude, des patientes avec des tumeurs inopérables ou des femmes atteintes d'une maladie de stade 4 diagnostiquée sur PET CT PET / CT ou un scintigraphie osseuse.Les patients atteints de diagnostic par cytologie FNA uniquement sont enceintes ou alternées de thérapie antérieure pour le cancer du sein, y compris les patientes de chimio d'irradiation et / ou de thérapie hormonale recevant une thérapie hormonale, par ex.Thérapie hormonale ovarienne Les médicaments d'infertilité, etc. ne sont pas éligibles une maladie systémique non malin (hépatique rénale cardiovasculaire, etc.) qui empêcherait le patient de l'objet d'une excision chirurgicale psychiatrique ou addictive des troubles hypercoagulablesou avec des antécédents de thrombose veineuse ou artérielle, AVC TIA ou embolie pulmonaire, les femmes avec une maladie non invasive ou une microinvasion ne sont pas éligibles.Les femmes subissant une chimiothérapie néoadjuvante ne sont pas éligibles, les femmes actuellement sous tamoxifène et raloxifène pour la prévention ne sont pas des patients éligibles ne doivent recevoir aucune thérapie à base de plantes / alternatifs tels que les produits de lin ou les produits de soja ou la cohosh noire.Patients avec une mutation connue en p53 (syndrome de Li Fraumeni)"
20c35c89-8d23-4be3-b603-ac0ee0f3b4de,0,Les patientes adultes présentant une confirmation histologique du carcinome du sein bilatéral invasif (T1 N1 M1) sont éligibles pour l'essai principal.,"Critères d'inclusion: patientes souffrant de confirmation histologique du carcinome du sein invasif.Les patients doivent avoir une tumeur primaire intacte.Patients supérieurs ou égaux à 18 ans.Les patients doivent avoir T1N1 3M0 ou T2 4 N0 3M0.Les patientes atteintes d'un cancer du sein bilatéral sont éligibles.Les patientes avec les deuxième cancers du sein primaire sont éligibles.Les patients doivent avoir une échelle de performance Karnofsky de plus ou égale à 70%.Les patients doivent avoir des maladies mesurables cliniquement à traiter en milieu néoadjuvant.Les patients doivent avoir une fonction de moelle osseuse adéquate telle que définie par le nombre de granulocytes périphériques de plus ou égal à 1500 / mm ^ 3 et le nombre de plaquettes supérieur ou égal à 100000 mm ^ 3.Les patients doivent avoir une fonction hépatique adéquate avec une bilirubine dans les valeurs de laboratoire normales.La phosphatase alcaline et les transaminases (ALT et AST) peuvent être jusqu'à 1,5 x limite supérieure de la normale (ULN) de l'institution.Les patients doivent avoir une fonction rénale adéquate avec des niveaux de créatinine dans la plage normale.Les patients doivent avoir une fraction d'éjection ventriculaire gauche normale (LVEF) supérieure ou égale à 50%.Test négatif de la grossesse en sérum ou en urine pour une femme en potentiel de procréation (WOCBP).Le WOCBP doit utiliser une méthode contraceptive fiable et appropriée au cours de l'étude et six mois après la fin de la chimiothérapie.Les WOCBP sont des femmes qui ne sont pas ménopausées pendant 12 mois ou n'ont eu aucune stérilisation chirurgicale antérieure.Les patients doivent accepter d'avoir des biopsies d'étude.Les patients doivent signer un consentement éclairé indiquant qu'ils sont conscients de la nature étudiante de l'étude conformément à la politique institutionnelle.Critères d'exclusion: les patients ayant des antécédents d'autres tumeurs malignes invasives diagnostiquées et traitées au cours des 5 années précédentes, à l'exception du cancer de la peau non de mélanome et du cancer du col utérin non invasif.Les patients HER2NEU ER et PR Positive devraient être exclus.Les patientes atteintes d'un cancer du sein inflammatoire (IBC) sont exclues.Patients avec une allogreffe d'organe ou d'autres antécédents de compromis immunitaire.Traitement antérieur avec tout médicament étudiant au cours des 4 semaines précédentes.Traitement chronique avec des stéroïdes systémiques ou un autre agent immunosuppresseur.Une histoire connue de la séropositivité du VIH.Les patients présentant une diathèse de saignement actif ou sur un médicament anti-vitamine K oral (sauf la coumarine à faible dose définie comme 1 mg par jour).Autres maladies médicales simultanées et / ou incontrôlées qui pourraient compromettre la participation à l'étude (c'est-à-dire le diabète incontrôlé une infection sévère de malnutrition sévère Angine instable ou une insuffisance cardiaque congestive Classe III cardiaque de New York Au cours de six mois, une arrythmique active de la maladie cardiaque ischémique active infarction myocardiale dans six moismaladie chronique du foie ou de la maladie rénale ulcération active du tractus gastro-intestinal).Patients avec une neuropathie périphérique pré-existante."
2485a3e1-7520-47d2-b941-32ebf91e5b65,1,Les participants de l'essai principal se voient attribuer une intervention en fonction de leurs traitements antérieurs.,Intervention 1: Nératinib 240 Trastuzumab Nératinib: capsules de 80 mg et comprimés enrobés de 40 mg pris par voie orale dans une dose prescrite de 240 mg par jour tant que toléré et la maladie ne s'aggrave pas chez les participants avec un traitement préalable du trastuzumab.Intervention 2: Nératinib 240 Pas de trastuzumab antérieur Nératinib: capsules de 80 mg et comprimés de 40 mg pris par voie orale en dose prescrite de 240 mg par jour tant que toléré et la maladie ne s'aggrave pas chez les participants sans traitement préalable du trastuzumab.
dbed5471-c2fc-45b5-b26f-430c9fa37a37,1,Des événements indésirables liés au cœur ont été enregistrés à la fois dans l'essai principal et l'essai secondaire.,"Événements indésirables 1: Total: 5/32 (15,63%) Neutropénie fébrile 1/32 (3,13%) Tachycardie supraventriculaire 1/32 (3,13%) Hypersensibilité 2/32 (6,25%) Infection du site du cathéter 1/32 (3,13%) ConfusionÉtat 1/32 (3,13%) Événements indésirables 1: Total: 285/752 (37,90%) Anémie 2/752 (0,27%) COAGULATION INTRAVASCULAIRE DISSESSONNÉ 2/752 (0,27%) Febrile Neutropenia 51/752 (6,78%) Neutropenia 47/ 752 (6,25%) thrombocytopénie 2/752 (0,27%) Fibrillation auriculaire 1/752 (0,13%) Flutter auriculaire 0/752 (0,00%) Insuffisance cardiaque Congestative 1/752 (0,13%) Dysfonction du ventriculaire gauche 0/752 (0,00 (0,002%)%) Événements indésirables 2: Total: 117/382 (30,63%) Anémie 382 (0,79%) COAGULATION INTRAVASCULAIRE DISSESSENIÉ 0/382 (0,00%) Neutropénie fébrile 11/382 (2,88%) Neutropénie 20/382 (5,24%)Thrombocytopénie 0/382 (0,00%) Fibrillation auriculaire 1/382 (0,26%) Flutter auriculaire 1/382 (0,26%) Insuffisance cardiaque Congestionnant 0/382 (0,00%) Dysfonction ventriculaire gauche 1/382 (0,26%)"
83b83400-1439-462d-bba3-42817b5b1fa1,1,La plupart des cas de CHF dans l'essai primaire étaient dans la cohorte 1.,"Événements indésirables 1: Total: 12/32 (37,50%) Anémie 0/32 (0,00%) Neutropénie 1/32 (3,13%) Thrombocytopénie 4/32 (12,50%) Fibrillation auriculaire 1/32 (3,13%) Échec cardiaque Congestion 1/ 32 (3,13%) Ischémie myocardique 1/32 (3,13%) inconfort abdominal 0/32 (0,00%) Ascite 1/32 (3,13%) Constipation 0/32 (0,00%) Hémorragie rectale 1/32 (3,13%)1/32 (3,13%) Fatigue 1/32 (3,13%) Événements indésirables 2: Total: 8/20 (40,00%) Anémie 1/20 (5,00%) Neutropénie 0/20 (0,00%) Thrombocytopénie 1/20 (5,00%) Fibrillation auriculaire 0/20 (0,00%) insuffisance cardiaque congestive 0/20 (0,00%) Ischémie myocardique 0/20 (0,00%) Inconfort abdominal 1/20 (5,00%) Ascite 0/20 (0,00%) Constipation 2 /20 (10,00%) Hémorragie rectale 0/20 (0,00%) Vomissements 0/20 (0,00%) Fatigue 0/20 (0,00%)"
ccc5362a-33d0-4f1b-be46-d31729ba9194,1,La PFS la plus courte du groupe Talazoparib de l'essai principal était plus d'un mois plus court que la PFS médiane de ce groupe.,"Mesure des résultats: survie libre de progression (PFS): Évaluation des installations radiologiques indépendantes (IRF) L'IRF évaluée par le SFS a été définie comme le temps (en mois) de la randomisation jusqu'à la date de la première maladie progressive radiologique documentée, les critères d'évaluation des tumeurs solides (RECIST)1.1 ou décès de toute cause qui se produit en premier.Selon RECIST V1.1 Progression définie comme 1) pour les lésions cibles: au moins une augmentation de 20% de la somme des mesures de lésions cibles par rapport à la plus petite somme de l'étude (y compris la ligne de base), l'augmentation absolue de la somme doit être au moins5 millimètres (mm) 2) Pour les lésions non cibles: progression non équivoque des lésions non cibles évaluées dans son ensemble de telle sorte qu'il est clair que le traitement a échoué et que la maladie progresse quel que soit le statut des lésions cibles 3) et / ou l'apparence deune ou plusieurs nouvelles lésions.L'analyse a été réalisée par la méthode Kaplan Meier.Calendrier: ligne de base jusqu'à la maladie ou la mort progressive radiologique due à toute cause (jusqu'à une durée maximale de 36,9 mois) Résultats 1: Titre du bras / groupe: Talazoparib Arm / groupe Description: Les participants ont reçu du talazoparib 1 mg par voie orale une fois par jour jusqu'à la progression radiographique de la maladie comme une progression comme la maladie radiographique commedéterminé par la décision centrale de la toxicité inacceptable de l'IRF, la décision du médecin de sevrage du médecin de résilier le traitement ou le parrain de la décision de résilier l'essai (jusqu'à un maximum de 70,2 mois).Un cycle était de 21 jours.Nombre global de participants analysés: 287 médian (intervalle de confiance à 95%) Unité de mesure: mois 8.6 (7.2 à 9.3) Résultats 2: Titre du bras / groupe: Traitement du médecin ARM / groupe Description: Les participants ont reçu 1 des médicaments suivants dansSchémas spécifiés selon le choix du médecin: 1) Capécitabine 1250 mg / m ^ 2 oralement deux fois par jour le jour 1 à 14 dans chaque cycle 2) Mésylate d'éribuline 1,4 mg / m ^ 2 (équivalent à l'éribuline 1,23 mg / m ^ 2)Comme 2 à 5 minutes IV Perfusion au jour 1 et 8 dans chaque cycle 3) Gemcitabine 1250 mg / m ^ 2 comme 30 minutes IV Perfusion au jour 1 et 8 dans chaque cycle 4) Vinorelbine 30 mg / m ^ 2 comme 6 à 10Perfusion de minute IV au jour 1 8 et 15 dans chaque cycle jusqu'à la progression de la maladie radiographique, telle que déterminée par la décision centrale de la toxicité inacceptable du RETRALICE, la décision du médecin de retrait de résilier le traitement ou le parrain de la décision de mettre fin à l'essai (jusqu'à un maximum de 45,3 mois).Un cycle était de 21 jours.Nombre global de participants analysés: 144 Unité de mesure médiane (intervalle de confiance à 95%): mois 5,6 (4,2 à 6,7)"
6fb9056d-277c-4dc2-9b45-d7661bb41831,0,"Le participant à la cohorte 1 de l'essai principal subit une mammographie, tandis que les patients de la cohorte 1 de l'essai secondaire reçoivent 6 mg d'estradiol comme supplémentation pour la mammographie.",Intervention 1: mammographie uniquement pour ce bras de rapport L'interprétation et l'analyse ont été effectuées avec la mammographie uniquement.Intervention 2: Mammographie avec MBI complémentaire pour ce bras de rapport L'interprétation et l'analyse ont été effectuées avec la mammographie et le MBI ensemble. Intervention 1: ARM 1 (6 mg d'estradiol) 6 mg d'estradiol quotidien (2 mg TID).Intervention 2: ARM 2 (30 mg d'estradiol) 30 mg d'estradiol.(10 mg tid)
a54e1dfa-3975-4dc6-8530-c0adc79b1b0d,1,"Agatha a eu son 50e anniversaire la semaine dernière, elle a un adénocarcinome confirmé histologiquement du sein, sans signe de maladie métastatique.Elle est admissible au procès principal mais pas au procès secondaire.",Critères d'inclusion: Femelles patientes 180 ans adénocarcinome du sein du cancer du sein invasif antérieur du sein s'il était diagnostiqué 5 ans avant d'entrer dans l'étude aucune preuve de maladie métastatique.Critères d'exclusion: antécédents de réaction d'hypersensibilité sévère au traitement précédent Taxotere avec anthracycline anthracenedione (mitoxantrone) ou traitement du taxane avec fluoropyrimidine (5 fluorouraciles) au cours des 5 dernières années.À Pilsen Little Village East Side ou South Chicago Aucun antécédent de bénévolat de santé Aucune histoire de cancer du sein et manque de mammographie au cours des deux dernières années Critères d'exclusion: ne répondant pas à tous les critères d'inclusion que les femmes seront exclues si elles ont participé à des groupes de discussion formatifs
